worker_id,skill,experience_years,latitude,longitude,availability,expected_wage,rating,has_transport,gender,age,reliability_score
W00037,farming_seeds,22,28.549957515454974,77.22892034856659,afternoon,1045,3.6,False,F,60,0.94
W00038,welding,28,28.414222268211265,77.01828466220866,full_day,968,3.5,False,M,30,0.77
W00039,plumbing,21,28.86203456015889,76.88302734320995,evening,1131,3.9,True,F,36,0.68
W00040,cleaning,18,28.720561570479763,77.03124922973655,full_day,1205,4.2,False,M,60,0.63
W00041,carpentry,21,28.746840855765797,77.04418825540981,afternoon,935,3.1,True,M,19,0.62
W00042,electrical,19,28.963637694624733,76.78182822918457,full_day,1478,3.0,False,F,43,0.7
W00043,masonry,22,28.11944481813803,77.45996447661848,morning,1170,3.0,False,M,53,0.7
W00044,farming_pruning,14,28.24723910555703,77.17364323749824,evening,1206,4.0,False,F,28,0.9
W00045,electrical,14,28.37309154846502,76.95623973750966,evening,1367,3.7,True,F,46,0.63
W00046,farming_harvesting,7,28.385615107082184,77.02870956841876,morning,583,2.9,False,M,31,0.63
W00047,plumbing,10,28.656511140503916,77.12477423410316,afternoon,1160,3.5,True,F,48,0.6
W00048,soil_preparation,9,28.867375125059386,77.56244795056911,full_day,1402,4.4,True,F,32,0.71
W00049,electrical,0,28.50275720324613,77.37787362062292,full_day,638,4.6,True,M,43,0.84
W00050,masonry,0,28.197847462162002,77.1376127696611,full_day,672,2.6,False,F,31,0.78
W00051,soil_preparation,24,28.993539986001895,76.98725661563881,full_day,816,4.6,False,M,52,0.62
W00052,soil_preparation,7,28.764044093249876,77.4902330496109,morning,363,4.9,True,M,57,0.66
W00053,farming_weeding,15,28.78335884461991,77.27296958193003,afternoon,1252,4.2,False,M,56,0.84
W00054,welding,22,28.2284328713789,77.52830117431108,evening,521,3.9,False,F,43,0.98
W00055,farming_thinning,2,28.705997861249852,77.53957163378033,afternoon,508,4.2,False,M,54,0.91
W00056,soil_preparation,17,28.542278013234746,77.07957087621806,evening,325,4.6,False,M,45,0.98
W00057,masonry,28,28.942607311002458,77.41630864370607,full_day,660,4.3,False,F,47,0.77
W00058,welding,18,28.382295538049227,77.56071316001933,morning,871,4.7,True,F,54,0.84
W00059,plumbing,10,28.14259999777009,77.55995283631246,afternoon,1298,3.0,False,F,35,0.95
W00060,welding,28,28.390168575756185,76.71915111443867,afternoon,475,3.1,False,F,53,0.9
W00061,welding,15,28.759802899740954,77.1998213350786,morning,490,3.2,False,M,37,0.87
W00062,soil_preparation,15,28.66737295501025,77.05275739414621,evening,1020,4.3,False,F,34,0.69
W00063,welding,6,28.429447944005986,77.4518810636391,afternoon,692,3.0,False,F,55,0.99
W00064,carpentry,19,28.396898703274957,76.8095261080908,afternoon,906,3.1,True,F,18,0.88
W00065,farming_weeding,8,28.15941570098322,76.76352602023898,evening,558,4.1,False,M,18,0.83
W00066,electrical,15,28.55436879813601,76.89336367039009,morning,817,4.9,False,M,22,0.76
W00067,farming_pruning,18,28.743345706952,76.76260907429254,afternoon,1452,4.9,True,M,25,0.82
W00068,plumbing,19,28.710026845410027,77.32741835249728,full_day,1222,4.8,False,F,37,0.83
W00069,farming_seeds,19,29.0740087774343,76.80823357477479,afternoon,732,3.2,True,M,33,0.67
W00070,farming_pruning,5,28.116575722602885,77.1595037046177,full_day,896,2.6,False,F,47,0.63
W00071,farming_thinning,29,28.3784546256589,77.50024774504496,afternoon,1170,2.8,True,M,35,0.93
W00072,farming_pruning,1,28.279822789220727,77.01661181261423,evening,1199,2.8,False,F,35,0.8
W00073,electrical,14,28.194341851899303,76.74886078418362,full_day,960,4.0,True,M,32,0.98
W00074,painting,18,29.064686277806352,77.70857241687746,evening,1480,2.6,True,F,51,0.86
W00075,farming_harvesting,5,29.110845474932564,77.144884987077,full_day,486,3.7,False,F,38,0.87
W00076,farming_weeding,10,28.525545089787794,77.20446902096434,full_day,1426,2.6,True,F,34,0.73
W00077,cleaning,12,28.97881058405188,77.5339272032687,morning,1411,3.7,True,M,51,0.74
W00078,cleaning,15,28.73930874214501,77.46899053606101,afternoon,846,3.9,False,F,49,0.65
W00079,masonry,19,28.91321373327447,77.41878282510027,evening,1428,2.5,False,M,32,1.0
W00080,farming_pruning,14,29.060960742359356,77.35670968878377,afternoon,1320,4.8,False,F,44,0.93
W00081,electrical,7,28.570686472732316,76.85364196848562,afternoon,1340,4.4,True,M,35,0.91
W00082,plumbing,10,29.04814839368252,77.21673767580965,morning,879,4.3,False,M,46,0.82
W00083,soil_preparation,10,28.665817417070812,77.25243006295868,full_day,959,4.7,True,F,32,0.94
W00084,plumbing,1,28.4320763272338,77.18197625024042,full_day,1090,5.0,True,F,20,0.65
W00085,painting,10,28.983600313362217,77.58319037405431,full_day,504,3.8,False,M,27,0.76
W00086,masonry,4,28.18872824824371,77.49052529127303,evening,993,4.1,False,M,39,0.94
W00087,carpentry,12,29.06803959262268,77.33579917900799,full_day,1408,2.6,True,M,58,0.87
W00088,farming_harvesting,7,28.860666366737927,77.14297147192313,morning,505,3.6,False,M,20,0.73
W00089,farming_seeds,9,28.472363342300365,77.1396867878554,afternoon,1387,3.5,True,M,29,0.63
W00090,plumbing,19,28.797034579962716,77.20666725236795,afternoon,775,3.7,False,F,34,0.87
W00091,cleaning,14,29.015109423598883,77.38661088569908,afternoon,451,3.6,False,F,58,0.98
W00092,welding,8,28.570735812667788,77.01112167053832,full_day,1289,2.8,False,F,54,0.72
W00093,welding,9,28.135839597859565,77.53903756149285,full_day,862,2.5,True,F,36,0.91
W00094,farming_thinning,19,28.91583195754529,76.9280045389281,afternoon,813,4.2,True,M,58,0.86
W00095,farming_harvesting,25,28.55472319016281,77.2885738053684,afternoon,484,4.8,False,F,29,0.68
W00096,cleaning,17,28.99036059670664,77.07485753061513,evening,636,3.1,False,F,39,0.92
W00097,electrical,30,28.18919936090676,77.46315149306133,afternoon,1113,4.9,False,M,43,0.61
W00098,carpentry,3,28.568686027733875,77.38182838187376,evening,1497,3.5,False,M,32,0.79
W00099,painting,28,29.05706913605785,77.03700628181738,afternoon,429,4.1,False,F,59,0.76
W00100,farming_weeding,1,29.060161532881946,77.01336458435601,full_day,537,2.7,True,F,47,0.75
W00101,welding,22,29.059874085779434,77.12812675341472,afternoon,1149,4.1,False,F,35,0.61
W00102,soil_preparation,6,28.557283086060703,77.65955516985143,evening,503,5.0,False,F,21,0.76
W00103,farming_thinning,30,28.236059719087265,77.55703318846368,full_day,487,4.2,True,M,39,0.7
W00104,farming_weeding,25,28.678477975907963,76.77761015282437,afternoon,1500,3.0,True,F,27,0.92
W00105,painting,0,28.391174845975684,77.69302813184774,afternoon,1406,3.1,True,M,60,0.95
W00106,farming_weeding,0,28.472142279216534,77.49743153445372,evening,332,2.9,True,M,44,0.81
W00107,welding,2,28.59014596542325,77.48701703931421,morning,1225,3.8,True,F,47,0.86
W00108,farming_seeds,1,29.11248675508933,77.55629854316724,full_day,521,3.7,False,M,23,0.73
W00109,farming_weeding,2,28.240091588305056,77.33331749428122,evening,1080,5.0,False,F,50,0.84
W00110,farming_pruning,25,28.81567941854607,77.56179273729558,afternoon,1180,3.6,True,F,39,0.93
W00111,plumbing,13,28.843512507634504,77.02154834999713,evening,822,3.4,True,F,22,0.64
W00112,farming_pruning,2,28.54577651855174,77.45358896919188,evening,566,3.9,False,M,44,0.74
W00113,masonry,30,28.86418425025148,77.57709214886907,morning,889,4.0,False,M,54,0.8
W00114,farming_weeding,21,28.59608939620439,77.55627484813496,evening,1439,3.4,False,M,45,0.94
W00115,cleaning,26,28.735623805469075,77.3839767112933,morning,847,2.6,False,F,39,0.74
W00116,farming_weeding,27,28.25715149034203,77.36634463483679,morning,590,4.4,True,M,51,0.69
W00117,plumbing,14,28.454795981769333,77.07905309247701,evening,1462,4.0,True,M,28,0.9
W00118,farming_seeds,21,28.195481527531914,77.15211297433034,full_day,1294,4.0,False,F,31,0.9
W00119,farming_pruning,11,28.543813633397892,76.99224647008046,full_day,1379,4.2,True,M,43,0.99
W00120,farming_seeds,0,28.318323124353732,77.65432408722664,afternoon,823,3.2,True,M,49,0.9
W00121,farming_weeding,4,28.494107445715237,77.41267126338266,evening,447,3.5,True,F,19,0.78
W00122,farming_pruning,27,28.426960630677335,77.13828428630084,full_day,1155,3.2,False,M,38,0.67
W00123,painting,14,28.945925913071708,77.62876975174139,morning,1194,4.6,True,F,55,0.76
W00124,farming_pruning,12,28.984424416195413,77.45480482646461,afternoon,982,4.4,True,M,51,0.8
W00125,cleaning,11,28.464999734957363,77.66722334899715,afternoon,783,2.8,False,M,29,0.84
W00126,cleaning,24,28.76940901051874,76.88614612894723,full_day,1250,4.4,False,F,58,0.73
W00127,electrical,2,28.582821083526376,77.34038512002543,evening,415,3.4,True,F,47,0.78
W00128,farming_seeds,11,28.945596631663122,76.78573100117346,morning,1338,3.5,True,F,54,0.86
W00129,soil_preparation,19,28.58952902794307,76.85986107669564,morning,1222,2.8,False,M,50,0.86
W00130,farming_seeds,7,28.82152170432328,77.6999860226469,afternoon,1045,3.4,False,F,44,0.91
W00131,masonry,19,28.166265517536008,77.33988657444198,evening,434,3.3,False,F,34,0.89
W00132,masonry,30,29.020242697163678,77.58227966206054,evening,466,4.0,True,F,37,0.99
W00133,welding,21,28.50585798433536,77.30404122815158,morning,934,3.9,False,M,60,0.88
W00134,welding,21,29.026347985458326,76.80245296506602,full_day,1341,3.4,False,F,29,0.98
W00135,soil_preparation,30,28.88005620766782,76.90100523366439,afternoon,617,2.7,True,M,60,0.73
W00136,cleaning,19,28.24494904142951,77.08571987082253,afternoon,670,4.6,True,F,20,0.76
W00137,masonry,23,28.351430201446927,77.15319870980528,evening,1219,3.1,True,F,48,0.96
W00138,farming_thinning,11,28.792206825065094,77.2794193933639,full_day,1245,4.4,False,F,28,0.93
W00139,cleaning,19,28.252298534603433,76.959003211589,full_day,1060,3.9,True,M,36,0.63
W00140,farming_weeding,8,28.563219220373828,77.22235273792855,full_day,487,4.9,True,F,40,0.97
W00141,plumbing,1,28.510353965470248,77.08296148767903,full_day,467,3.4,True,F,24,0.94
W00142,masonry,10,28.90528063748218,76.84659958772588,evening,1267,4.2,True,F,46,0.85
W00143,farming_pruning,0,28.369823928437047,77.54396309928238,full_day,527,4.4,True,F,25,0.62
W00144,plumbing,20,28.907799108639438,77.16611361663645,morning,1323,4.0,True,M,27,0.72
W00145,farming_seeds,19,28.466716039626036,77.27966371602243,afternoon,475,3.8,False,M,51,0.82
W00146,cleaning,16,28.668051952418196,77.09945373256006,full_day,389,4.1,False,F,19,0.74
W00147,farming_pruning,11,28.355025924385647,77.36610440001084,morning,1491,4.3,False,M,20,0.74
W00148,soil_preparation,26,28.75669561620272,77.5393836567636,full_day,1280,4.1,True,M,47,0.61
W00149,farming_thinning,1,28.905009213229047,77.59479038561811,evening,935,3.8,False,F,20,0.9
W00150,farming_thinning,9,28.470874176035366,77.48984156697843,evening,859,2.8,False,F,43,0.9
W00151,plumbing,10,29.08762358431531,77.20520322653702,full_day,1052,4.8,False,M,45,0.63
W00152,painting,26,28.294356485938092,77.0027664190025,morning,463,3.3,False,F,46,0.84
W00153,plumbing,5,28.803664808445486,77.060546983772,morning,1022,4.0,False,F,58,0.99
W00154,farming_seeds,2,28.78508388889367,77.11521023150766,afternoon,363,2.9,False,M,26,0.63
W00155,cleaning,20,28.48022847310715,77.09185440168878,morning,614,4.2,False,F,46,0.91
W00156,painting,4,28.64335988153629,77.10703404595246,evening,811,4.9,True,M,49,0.81
W00157,carpentry,3,28.375676676587496,76.96928977113991,full_day,739,5.0,False,F,30,0.65
W00158,farming_pruning,14,28.28655636398404,77.42236989436381,morning,954,4.2,True,F,37,0.94
W00159,welding,22,29.041224456723178,77.34670002256402,evening,1341,3.1,True,M,33,0.92
W00160,farming_seeds,11,28.667921437259597,77.07791116550122,afternoon,476,2.7,False,F,51,0.76
W00161,plumbing,26,28.688800508476426,76.8343267822592,evening,451,3.6,False,M,53,0.86
W00162,farming_weeding,24,29.08016461393411,77.14161828648197,morning,554,3.8,False,M,28,0.73
W00163,welding,7,28.459923082341874,77.64990405493154,evening,461,3.1,False,M,58,0.72
W00164,carpentry,2,28.616473144741263,76.87763590174771,afternoon,650,4.1,False,M,19,0.63
W00165,masonry,24,28.69067123147738,77.3601299774856,full_day,362,3.7,False,F,48,0.7
W00166,cleaning,21,28.51999252674456,77.16254413295518,morning,623,3.6,False,F,31,0.74
W00167,farming_weeding,10,28.975385076832495,77.02831639264673,evening,1116,2.8,False,M,38,0.7
W00168,farming_pruning,8,28.563496011995667,76.84987763500818,morning,894,4.9,False,M,28,0.93
W00169,painting,23,28.426614920862274,77.47212137513863,full_day,1354,3.7,False,F,19,0.64
W00170,plumbing,16,28.571130642189733,76.94972864066918,evening,399,2.6,False,F,36,0.81
W00171,farming_pruning,13,28.247834943992316,76.97347289979092,evening,1125,3.4,False,M,54,0.82
W00172,soil_preparation,17,28.402501697039096,77.09534882497978,full_day,1426,3.2,True,M,24,0.76
W00173,cleaning,10,28.67173183827213,77.07460637321297,afternoon,707,4.0,False,M,20,0.62
W00174,welding,10,28.91786585519421,77.22833271033309,afternoon,1355,2.8,False,M,43,1.0
W00175,welding,26,28.41313434252832,77.04537345215168,full_day,1452,3.2,True,F,39,0.87
W00176,plumbing,18,28.421577833711765,77.60776710418854,morning,1271,3.2,True,M,55,0.79
W00177,carpentry,20,28.835082835249125,77.48360612983382,full_day,602,4.6,True,M,54,0.98
W00178,farming_pruning,6,28.132837367506614,77.02269248344585,afternoon,1145,4.2,False,F,21,0.88
W00179,carpentry,6,28.67478677290864,77.70712286840549,full_day,1376,3.4,True,F,52,0.74
W00180,soil_preparation,21,28.88588978414874,77.4299245613273,evening,1291,3.0,True,F,53,0.72
W00181,farming_harvesting,24,28.402904137403524,76.91627779485464,full_day,949,3.7,False,F,25,0.83
W00182,carpentry,12,29.00966046154023,77.10353245564086,evening,599,3.2,False,M,40,0.97
W00183,masonry,8,28.861238499718006,76.92298680807701,evening,1451,4.2,True,M,57,0.9
W00184,farming_thinning,7,28.164665429957466,77.6141841909516,afternoon,776,2.6,False,F,48,0.64
W00185,cleaning,4,28.11908144640713,77.25935256577962,afternoon,1133,4.1,False,F,59,0.68
W00186,farming_harvesting,10,28.399315341301993,76.76816258624149,morning,1475,3.1,True,M,44,0.95
W00187,farming_weeding,29,29.033534811850934,77.70617180308851,full_day,1314,3.0,False,M,18,0.72
W00188,painting,3,29.04235484601702,77.04404211369575,full_day,1412,3.8,True,F,35,0.68
W00189,farming_pruning,10,28.27639426253974,77.16791447103236,evening,681,2.5,False,F,54,0.87
W00190,farming_thinning,5,28.724854499663014,77.3477257940847,full_day,1175,3.8,True,F,60,0.64
W00191,farming_weeding,15,28.437501670085084,76.95704708366715,evening,1085,3.1,False,F,37,0.83
W00192,painting,0,28.375453150815392,77.06855209056116,afternoon,427,4.2,False,F,28,0.76
W00193,carpentry,29,29.009018369816253,77.41255703510225,evening,540,4.1,False,F,57,0.69
W00194,farming_weeding,15,28.26708556468918,77.45673483715086,evening,1151,4.3,False,M,33,0.87
W00195,painting,27,28.901270689823257,77.23450665622018,evening,459,4.8,True,M,53,0.96
W00196,farming_thinning,18,28.650560158260557,76.87353715658276,full_day,538,4.2,False,M,50,0.78
W00197,farming_seeds,14,28.2458443398211,77.12442457384466,morning,1444,3.7,False,M,43,0.7
W00198,farming_seeds,23,28.33180130867296,76.78202952591546,full_day,1005,4.3,True,M,48,0.61
W00199,plumbing,5,28.882872062583484,77.47482768292372,full_day,1066,5.0,False,F,42,0.75
W00200,masonry,30,28.77569253812547,77.24830026391886,evening,542,2.9,False,M,32,0.93
W00201,cleaning,0,29.09239068267914,77.17200390119478,full_day,1389,3.4,True,M,47,0.74
W00202,farming_harvesting,6,29.05131036113507,77.43402394590892,morning,365,4.5,False,M,33,0.68
W00203,farming_pruning,19,28.147476275754283,77.30678489673156,morning,801,4.4,False,F,32,0.82
W00204,cleaning,27,28.8899636214647,76.84913557511491,evening,779,4.5,False,F,33,0.72
W00205,farming_weeding,21,28.635151054264924,77.1225602064468,evening,424,3.9,True,F,53,0.8
W00206,soil_preparation,30,28.757216065306533,77.0901546324626,evening,1152,3.5,False,F,29,0.9
W00207,electrical,7,28.963240932260042,77.00973641879516,afternoon,1248,4.8,False,F,53,0.81
W00208,plumbing,7,28.368895645607537,77.0392629936241,morning,1221,4.6,True,M,21,0.71
W00209,masonry,19,28.716822044989076,77.58262045848954,afternoon,1444,3.0,True,F,37,0.98
W00210,farming_seeds,6,29.05105976320225,77.67107755611447,morning,1280,4.8,True,F,33,0.82
W00211,cleaning,9,28.494561744372923,77.24265012741627,evening,931,3.2,False,F,24,0.92
W00212,welding,15,28.875528969309713,77.02923328478882,afternoon,1059,3.3,True,M,27,0.61
W00213,carpentry,29,28.697931899118,77.42901193774922,evening,612,3.0,True,F,54,0.93
W00214,electrical,17,28.768507966121025,77.39384661234591,evening,1300,4.9,False,F,28,0.89
W00215,soil_preparation,5,28.25385852858062,77.25554632872579,afternoon,1410,5.0,True,M,22,0.98
W00216,masonry,1,28.87823884357202,77.1213922224156,afternoon,439,4.3,True,M,50,0.78
W00217,farming_seeds,19,28.751628591760657,77.64290372109801,full_day,1299,2.5,False,M,19,0.81
W00218,farming_harvesting,17,29.09137934823251,76.72614259760243,full_day,667,2.8,True,M,33,0.68
W00219,carpentry,8,28.929114390713284,76.97632473667664,full_day,461,3.4,False,F,54,0.7
W00220,welding,7,28.413874640339923,77.53706207871339,morning,364,2.7,False,F,53,0.79
W00221,masonry,0,28.816745150019106,76.79168612250581,full_day,978,3.9,True,M,32,0.68
W00222,welding,28,28.68068414699063,76.9800950527084,morning,874,4.7,True,M,38,0.61
W00223,farming_thinning,18,28.258091561283578,77.5296907414847,full_day,457,3.2,True,F,52,0.73
W00224,cleaning,23,28.2538505942352,77.6974779579141,morning,1325,4.4,False,M,24,0.77
W00225,farming_pruning,10,28.719068743200644,77.32286523362144,full_day,968,2.6,False,F,49,0.69
W00226,carpentry,30,28.48932699599153,76.8947378458954,full_day,475,4.4,False,M,22,0.63
W00227,farming_weeding,12,28.825577154778617,77.34290088196306,full_day,948,3.4,True,M,37,0.78
W00228,cleaning,8,28.216131414113246,76.79629723235512,full_day,1219,3.9,False,M,19,0.64
W00229,carpentry,2,28.710824555287093,77.49343872425281,full_day,325,3.2,False,M,53,0.96
W00230,farming_thinning,18,28.6350045307635,77.39431599179456,afternoon,584,3.2,False,F,27,0.63
W00231,plumbing,8,28.535002339772525,77.19323131393394,morning,1039,3.1,True,F,56,0.85
W00232,electrical,3,28.249389525680677,76.71576736942548,full_day,980,4.6,False,F,46,0.73
W00233,masonry,19,28.250024471578264,77.02966515537508,afternoon,1281,3.3,False,F,36,0.89
W00234,masonry,15,29.081663085483605,77.49097436960358,evening,1070,3.2,False,F,25,0.97
W00235,farming_thinning,18,29.111164925730446,76.8889272126087,morning,1245,4.9,True,F,36,0.93
W00236,farming_pruning,26,28.961687930038995,77.50404562474148,full_day,585,4.1,True,F,60,0.66
W00237,plumbing,25,28.490890818038324,77.15806672083363,full_day,1492,3.5,False,M,41,0.88
W00238,cleaning,17,28.707719943354878,77.62340124873059,morning,808,4.1,False,M,59,0.85
W00239,painting,20,28.791371895864188,77.10861774622508,evening,1181,2.8,True,F,32,0.8
W00240,carpentry,17,28.694418295524006,77.28423539827043,full_day,1066,3.5,True,F,19,0.79
W00241,farming_harvesting,13,29.03444754467106,76.79485479942016,afternoon,1013,3.3,False,M,51,0.79
W00242,electrical,3,28.552065938273028,77.40576326552367,evening,437,3.3,True,M,39,0.86
W00243,masonry,25,28.278254092850705,77.69290047058828,afternoon,1356,2.9,True,F,53,0.77
W00244,electrical,7,28.911655788304266,77.33876031887868,afternoon,1185,3.5,True,F,55,0.77
W00245,farming_seeds,22,28.328696105070296,76.98734483051543,morning,1482,2.8,True,F,38,0.68
W00246,farming_pruning,8,28.78460142822442,77.19848397880581,evening,1095,4.0,True,F,40,0.94
W00247,painting,5,28.927638254260934,77.41498836094598,evening,473,4.2,False,M,33,0.72
W00248,farming_weeding,11,28.807336541716445,77.21982486948717,full_day,582,3.9,False,M,49,0.85
W00249,welding,29,28.759160095079952,77.7088995525631,afternoon,1302,3.2,True,F,46,0.85
W00250,soil_preparation,30,28.123483439563284,76.8455347146625,full_day,1450,3.8,False,F,49,0.77
W00251,electrical,15,28.28115348742806,77.27439779924498,afternoon,898,2.6,True,F,28,0.91
W00252,painting,23,28.886447638162373,77.20431334303116,morning,1472,2.8,False,M,46,0.82
W00253,plumbing,3,28.849888697633673,77.36267170238007,afternoon,909,4.7,True,F,34,0.74
W00254,farming_pruning,14,28.979190470376295,76.82638602649891,afternoon,729,4.5,False,F,28,0.85
W00255,cleaning,6,28.927429865495434,77.51444049337029,evening,1390,3.2,True,F,36,0.72
W00256,farming_harvesting,30,28.971916844946257,77.6944883022618,morning,577,4.9,False,M,35,0.95
W00257,farming_weeding,22,28.97997879499116,76.95867724193815,evening,806,4.4,False,F,27,0.83
W00258,farming_harvesting,20,28.528125089365037,77.16099172255036,morning,1125,3.8,False,F,47,0.98
W00259,soil_preparation,18,28.116373085141987,77.4831352904377,morning,1238,4.1,False,M,52,0.76
W00260,plumbing,26,28.325751466407738,76.97753683831442,evening,991,3.9,True,F,39,0.96
W00261,cleaning,1,28.159842925658634,77.3351795221559,full_day,333,2.8,True,F,47,0.6
W00262,plumbing,6,29.10959406873429,77.6184072143131,evening,625,4.7,False,M,59,0.74
W00263,farming_pruning,11,28.778408811412756,77.35791120914762,morning,1111,4.1,True,F,59,0.64
W00264,farming_pruning,0,28.327321176946214,76.78693872157261,afternoon,1363,4.2,True,M,39,0.93
W00265,plumbing,22,28.246075151092562,76.77982830540051,full_day,482,4.3,True,M,38,0.75
W00266,farming_harvesting,4,28.496621049885903,77.52236792374521,afternoon,592,2.7,True,M,46,0.74
W00267,farming_thinning,20,28.86216883637439,77.62889412465476,full_day,744,2.7,True,M,25,0.84
W00268,plumbing,11,29.077148710553264,77.02350366818217,afternoon,807,3.2,True,M,53,0.84
W00269,welding,19,28.398820810006335,77.65027924509701,morning,917,3.0,True,F,36,0.86
W00270,cleaning,28,28.907678031726714,76.94834107642538,full_day,530,3.1,True,M,41,0.97
W00271,farming_weeding,12,28.97471400393675,77.27738038877297,evening,1418,4.2,False,M,19,0.83
W00272,farming_seeds,8,28.329642938517235,77.6315792889332,full_day,1337,3.2,False,F,43,0.63
W00273,carpentry,17,28.72994705566675,76.98646773573456,evening,461,3.8,True,M,52,0.73
W00274,painting,20,28.877124131126156,77.35883953297925,morning,935,4.2,True,M,33,0.63
W00275,plumbing,3,28.567271842297142,77.31783240442745,evening,659,2.8,True,M,28,0.8
W00276,soil_preparation,16,28.631122842447365,77.53150687271928,evening,641,3.4,False,M,19,0.73
W00277,plumbing,8,28.63775421144867,76.97194965082649,morning,1316,3.6,False,M,49,0.94
W00278,farming_weeding,11,28.271209981101126,77.48232895325799,morning,767,4.4,True,M,18,0.7
W00279,electrical,11,28.4968794743674,76.85908466824115,morning,1432,4.5,False,M,38,0.7
W00280,welding,10,28.385157958009817,76.78688706996691,evening,544,3.8,True,M,32,0.92
W00281,farming_seeds,30,28.514824847043503,77.58599123818497,evening,936,3.3,False,M,41,0.68
W00282,painting,25,28.417809307268083,77.33171752389211,full_day,1054,4.0,False,M,52,0.9
W00283,farming_thinning,4,28.120277882751804,77.11903610956603,afternoon,1409,3.4,True,F,18,0.9
W00284,plumbing,27,28.851982660192363,77.01651063752136,afternoon,1385,5.0,False,F,21,0.99
W00285,farming_weeding,22,28.393725270869037,76.75290026570316,afternoon,1364,3.5,False,F,23,0.83
W00286,carpentry,4,28.751115680032694,77.1033512892338,morning,1190,4.2,True,M,36,0.7
W00287,soil_preparation,29,28.914716821999495,77.40972560632154,evening,951,3.6,True,M,30,0.65
W00288,cleaning,18,28.22287283371844,76.8146577501027,full_day,1254,3.3,True,F,31,0.78
W00289,electrical,8,28.96638218566115,76.79942088804853,evening,382,3.0,False,M,23,0.88
W00290,soil_preparation,12,28.62735967537873,77.38618337698908,evening,656,2.6,False,F,53,0.9
